"","so","mem","Q%10","Q%25","Q%35","Q%45","Q%50","Q%65","Q%75","Q%85","Q%95"
"BTO.TO",0.004,2,-0.022,-0.013,-0.007,-0.002,0.001,0.007,0.012,0.017,0.027
"ABX.TO",0.005,2,-0.03,-0.019,-0.011,-0.005,-0.003,0.004,0.01,0.016,0.027
"^GSPC",0.016,2,-0.011,-0.001,0.004,0.009,0.011,0.02,0.025,0.033,0.047
"^NBI",0.01,2,-0.024,-0.01,-0.003,0.003,0.005,0.014,0.019,0.025,0.033
"AXP",0.008,3,-0.014,-0.004,0,0.006,0.009,0.015,0.021,0.033,0.046
"IBM",0.007,3,-0.025,-0.013,-0.007,-0.002,0.001,0.008,0.012,0.017,0.034
"JPM",0.014,3,-0.017,-0.007,-0.001,0.004,0.006,0.016,0.023,0.032,0.047
"MMM",0.007,3,-0.02,-0.013,-0.007,0,0.003,0.015,0.023,0.031,0.044
"CAT",0.012,3,-0.012,-0.003,0.001,0.008,0.012,0.021,0.029,0.035,0.051
"HD",0.006,3,-0.015,-0.009,-0.004,0.003,0.007,0.017,0.027,0.036,0.05
"UTX",0.009,3,-0.019,-0.012,-0.007,0.001,0.005,0.013,0.02,0.029,0.048
"BA",0.009,3,-0.005,0.001,0.006,0.01,0.012,0.019,0.027,0.034,0.051
"GS",0.009,3,-0.02,-0.009,-0.004,-0.002,0.001,0.008,0.014,0.022,0.033
"XOM",0.01,3,-0.026,-0.009,-0.004,0,0.003,0.015,0.02,0.027,0.037
"TRV",0.007,3,-0.017,-0.011,-0.006,-0.003,0,0.01,0.018,0.026,0.046
"DWDP",0.009,3,-0.02,-0.01,-0.004,0.001,0.004,0.01,0.018,0.023,0.034
"JNJ",0.006,3,-0.022,-0.013,-0.008,-0.003,-0.001,0.005,0.012,0.021,0.048
"FAST",0.006,3,-0.013,-0.006,0,0.004,0.005,0.011,0.018,0.026,0.041
"PCAR",0.01,3,-0.023,-0.01,-0.005,-0.002,0.001,0.011,0.022,0.032,0.044
"C",0.011,3,-0.023,-0.012,-0.006,-0.001,0.002,0.013,0.019,0.027,0.037
"WFC",0.011,3,-0.023,-0.014,-0.006,-0.002,0.002,0.014,0.02,0.028,0.041
"GLE.PA",0.007,3,-0.033,-0.019,-0.011,-0.006,-0.003,0.006,0.011,0.017,0.031
"LLOY.L",0.007,3,-0.029,-0.018,-0.012,-0.007,-0.005,0.007,0.012,0.02,0.035
"DB",0.006,3,-0.031,-0.019,-0.012,-0.008,-0.007,0.002,0.009,0.018,0.039
"HTH",0.007,3,-0.024,-0.014,-0.008,-0.002,0.001,0.011,0.021,0.03,0.039
"HSBC",0.009,3,-0.024,-0.01,-0.004,0.001,0.004,0.014,0.02,0.026,0.035
"ING",0.01,3,-0.031,-0.019,-0.012,-0.004,0,0.007,0.017,0.031,0.043
"RBS",0.007,3,-0.026,-0.015,-0.007,0.001,0.003,0.011,0.018,0.028,0.039
"USB",0.01,3,-0.02,-0.01,-0.005,-0.001,0.001,0.007,0.012,0.019,0.032
"UBS",0.008,3,-0.027,-0.015,-0.01,-0.003,0.001,0.01,0.019,0.026,0.043
"STL",0.008,3,-0.022,-0.009,-0.004,0.001,0.003,0.009,0.016,0.022,0.04
"BNP.PA",0.007,3,-0.03,-0.019,-0.013,-0.005,-0.003,0.007,0.014,0.023,0.042
"DLTR",0.005,3,-0.018,-0.009,-0.002,0.005,0.008,0.016,0.023,0.029,0.038
"BAC",0.014,3,-0.017,-0.007,-0.001,0.006,0.007,0.016,0.022,0.027,0.045
"AIG",0.007,3,-0.027,-0.016,-0.011,-0.004,-0.002,0.008,0.016,0.025,0.034
"CWB.TO",0.007,3,-0.023,-0.005,0.004,0.009,0.01,0.017,0.024,0.029,0.041
"^DJI",0.017,3,-0.011,-0.002,0.004,0.01,0.014,0.025,0.03,0.039,0.055
"^NYA",0.019,3,-0.013,-0.004,0.001,0.006,0.008,0.019,0.025,0.035,0.045
"^RUT",0.012,3,-0.018,-0.006,0.001,0.006,0.009,0.018,0.022,0.029,0.044
"^BANK",0.01,3,-0.018,-0.006,-0.002,0.003,0.004,0.011,0.017,0.025,0.038
"NKE",0.004,4,-0.019,-0.005,0,0.006,0.008,0.015,0.018,0.025,0.036
"DIS",0.006,4,-0.019,-0.011,-0.006,-0.002,-0.001,0.004,0.009,0.014,0.026
"FOX",0.006,4,-0.015,-0.006,-0.001,0.003,0.004,0.012,0.017,0.022,0.035
"FOXA",0.006,4,-0.015,-0.005,-0.001,0.003,0.004,0.011,0.016,0.021,0.031
"VRX.TO",0.006,4,-0.027,-0.015,-0.006,0.005,0.008,0.018,0.025,0.032,0.044
"BTE.TO",0.011,5,-0.031,-0.016,-0.007,-0.001,0.001,0.012,0.018,0.026,0.052
"ECA.TO",0.011,5,-0.026,-0.015,-0.007,-0.001,0.003,0.011,0.016,0.026,0.042
"CPG.TO",0.01,5,-0.035,-0.023,-0.015,-0.008,-0.005,0.004,0.013,0.025,0.042
"PD.TO",0.01,5,-0.031,-0.019,-0.011,-0.007,-0.004,0.006,0.015,0.025,0.042
"CNQ.TO",0.009,5,-0.027,-0.012,-0.007,-0.001,0.002,0.01,0.015,0.025,0.039
"CVE.TO",0.01,5,-0.035,-0.02,-0.009,0,0.002,0.013,0.022,0.03,0.043
"ATH.TO",0.008,5,-0.027,-0.016,-0.01,-0.005,0,0.01,0.017,0.025,0.037
"SU.TO",0.011,5,-0.03,-0.016,-0.01,0.001,0.008,0.02,0.028,0.036,0.05
"CFW.TO",0.009,5,-0.029,-0.014,-0.004,0.004,0.008,0.017,0.029,0.039,0.052
"TCW.TO",0.008,5,-0.03,-0.016,-0.01,-0.005,-0.002,0.005,0.012,0.02,0.037
"AAPL",0.008,6,-0.02,-0.009,-0.003,0.001,0.003,0.014,0.02,0.029,0.047
"MSFT",0.011,6,-0.01,-0.004,0.001,0.005,0.009,0.017,0.021,0.028,0.047
"V",0.008,6,-0.008,-0.001,0.004,0.009,0.012,0.017,0.022,0.036,0.053
"ADBE",0.009,6,-0.011,-0.002,0.003,0.009,0.012,0.019,0.024,0.032,0.045
"AMZN",0.009,6,-0.016,-0.004,0.002,0.007,0.01,0.018,0.028,0.041,0.054
"ATVI",0.006,6,-0.014,-0.007,-0.004,0.001,0.003,0.01,0.014,0.02,0.029
"AVGO",0.006,6,-0.019,-0.009,-0.005,-0.001,0.001,0.007,0.012,0.02,0.038
"FB",0.006,6,-0.012,-0.005,-0.002,0.003,0.005,0.012,0.018,0.025,0.039
"GOOG",0.012,6,-0.018,-0.008,-0.002,0.002,0.005,0.013,0.021,0.028,0.051
"GOOGL",0.012,6,-0.017,-0.009,-0.003,0.001,0.004,0.012,0.02,0.028,0.047
"NFLX",0.008,6,-0.018,-0.009,-0.002,0.004,0.009,0.02,0.027,0.033,0.043
"NVDA",0.009,6,-0.014,-0.005,0.001,0.007,0.009,0.016,0.022,0.031,0.052
"^IXIC",0.016,6,-0.011,-0.003,0.003,0.008,0.01,0.017,0.024,0.031,0.048
