"","StationaryDistribution","GOP","Membership","QuantileSR.10","QuantileSR.25","QuantileSR.35","QuantileSR.45","QuantileSR.50","QuantileSR.65","QuantileSR.75","QuantileSR.85","QuantileSR.95","Ticker","Name"
"EXSC.F",0.062,0.189,4,-0.009,-0.004,-0.002,0,0.001,0.003,0.004,0.006,0.011,"EXSC.F","iShares STOXX Europe Large 200 UCITS ETF (DE)"
"EXSA.F",0.07,0.211,4,-0.008,-0.003,-0.002,0,0.001,0.003,0.004,0.006,0.01,"EXSA.F","iShares STOXX Europe 600 UCITS ETF (DE)"
"EXV8.F",0.027,0.088,4,-0.01,-0.005,-0.002,-0.001,0,0.003,0.005,0.008,0.012,"EXV8.F","iShares (DE) I - iShares STOXX Europe 600 Construction & Materials UCITS ETF (DE)"
"EXH9.F",0.009,0.028,4,-0.011,-0.005,-0.003,0,0,0.003,0.005,0.007,0.014,"EXH9.F","iShares (DE) I - iShares STOXX Europe 600 Utilities UCITS ETF (DE)"
"EXV1.DE",0.012,0.037,4,-0.011,-0.006,-0.003,-0.001,0,0.003,0.005,0.007,0.014,"EXV1.DE","iShares (DE) I - iShares STOXX Europe 600 Banks UCITS ETF (DE)"
"EXH2.F",0.025,0.083,4,-0.01,-0.005,-0.002,0,0.001,0.004,0.005,0.007,0.012,"EXH2.F","iShares (DE) I - iShares STOXX Europe 600 Financial Services UCITS ETF (DE)"
"EXSH.F",0.027,0.085,4,-0.008,-0.004,-0.002,0,0.001,0.002,0.004,0.006,0.009,"EXSH.F","iShares STOXX Europe Select Dividend 30 UCITS ETF (DE)"
"EXSH.DE",0.032,0.103,4,-0.007,-0.004,-0.001,0,0.001,0.002,0.004,0.006,0.009,"EXSH.DE","iShares STOXX Europe Select Dividend 30 UCITS ETF (DE)"
"EXSE.F",0.047,0.141,4,-0.009,-0.004,-0.001,0,0.001,0.003,0.005,0.007,0.01,"EXSE.F","iShares STOXX Europe Small 200 UCITS ETF (DE)"
"EXI5.DE",0.005,0.02,4,-0.007,-0.004,-0.002,-0.001,0,0.002,0.005,0.007,0.011,"EXI5.DE","iShares (DE) I - iShares STOXX Europe 600 Real Estate UCITS ETF (DE)"
"EXH9.DE",0.009,0.027,4,-0.01,-0.005,-0.003,0,0.001,0.003,0.005,0.007,0.013,"EXH9.DE","iShares (DE) I - iShares STOXX Europe 600 Utilities UCITS ETF (DE)"
"EXH3.F",0.008,0.028,4,-0.01,-0.004,-0.002,0,0,0.003,0.004,0.007,0.011,"EXH3.F","iShares (DE) I - iShares STOXX Europe 600 Food & Beverage UCITS ETF (DE)"
"EXH8.F",0.007,0.025,4,-0.009,-0.004,-0.002,0,0.001,0.003,0.005,0.008,0.012,"EXH8.F","iShares (DE) I - iShares STOXX Europe 600 Retail UCITS ETF (DE)"
"EXSD.F",0.054,0.163,4,-0.008,-0.003,-0.001,0,0.001,0.003,0.004,0.006,0.01,"EXSD.F","iShares STOXX Europe Mid 200 UCITS ETF (DE)"
"EXV9.F",0.008,0.029,4,-0.01,-0.004,-0.002,0,0.001,0.003,0.004,0.007,0.012,"EXV9.F","iShares (DE) I - iShares STOXX Europe 600 Travel & Leisure UCITS ETF (DE)"
"EXV2.F",0.007,0.026,4,-0.011,-0.005,-0.003,-0.001,0,0.002,0.005,0.007,0.014,"EXV2.F","iShares (DE) I - iShares STOXX Europe 600 Telecommunications UCITS ETF (DE)"
"EXV4.F",0.015,0.051,4,-0.009,-0.004,-0.002,0,0,0.003,0.005,0.007,0.012,"EXV4.F","iShares (DE) I - iShares STOXX Europe 600 Health Care UCITS ETF (DE)"
"EXH6.F",0.008,0.027,4,-0.009,-0.004,-0.002,0,0.001,0.003,0.005,0.007,0.012,"EXH6.F","iShares (DE) I - iShares STOXX Europe 600 Media UCITS ETF (DE)"
"EXH7.F",0.01,0.035,4,-0.01,-0.005,-0.003,0,0.001,0.003,0.005,0.008,0.013,"EXH7.F","iShares (DE) I - iShares STOXX Europe 600 Personal & Household Goods UCITS ETF (DE)"
"EXV1.F",0.013,0.041,4,-0.011,-0.007,-0.003,-0.001,0,0.003,0.005,0.008,0.015,"EXV1.F","iShares (DE) I - iShares STOXX Europe 600 Banks UCITS ETF (DE)"
"^GDAXI",0.034,0.102,5,-0.012,-0.004,-0.002,0,0.001,0.003,0.005,0.008,0.014,"-","-"
"^FCHI",0.043,0.127,5,-0.007,-0.004,-0.002,0,0,0.003,0.004,0.007,0.011,"-","-"
"^N100",0.05,0.147,5,-0.007,-0.004,-0.002,0,0.001,0.003,0.004,0.006,0.01,"-","-"
"^CXKCX",0.019,0.056,5,-0.013,-0.006,-0.003,-0.001,0,0.004,0.006,0.01,0.015,"-","-"
"EXSE.DE",0.027,0.085,5,-0.008,-0.004,-0.002,0,0,0.003,0.005,0.007,0.011,"EXSE.DE","iShares STOXX Europe Small 200 UCITS ETF (DE)"
"EXH4.F",0.05,0.152,5,-0.009,-0.004,-0.002,0,0.001,0.003,0.005,0.008,0.012,"EXH4.F","iShares (DE) I - iShares STOXX Europe 600 Industrial Goods & Services UCITS ETF (DE)"
"EXSC.DE",0.038,0.118,5,-0.007,-0.003,-0.001,0,0,0.002,0.004,0.006,0.01,"EXSC.DE","iShares STOXX Europe Large 200 UCITS ETF (DE)"
"EXV5.F",0.009,0.031,5,-0.013,-0.005,-0.003,-0.001,0,0.003,0.006,0.01,0.016,"EXV5.F","iShares (DE) I - iShares STOXX Europe 600 Automobiles & Parts UCITS ETF (DE)"
"EXV7.F",0.026,0.08,5,-0.011,-0.004,-0.002,0,0.001,0.003,0.005,0.008,0.013,"EXV7.F","iShares (DE) I - iShares STOXX Europe 600 Chemicals UCITS ETF (DE)"
"EXSA.DE",0.068,0.205,5,-0.008,-0.003,-0.002,0,0.001,0.002,0.004,0.007,0.01,"EXSA.DE","iShares STOXX Europe 600 UCITS ETF (DE)"
"EXV6.DE",0.007,0.021,5,-0.016,-0.007,-0.003,0,0.001,0.006,0.009,0.013,0.019,"EXV6.DE","iShares (DE) I - iShares STOXX Europe 600 Basic Resources UCITS ETF (DE)"
"EXV3.F",0.012,0.041,5,-0.012,-0.004,-0.003,0,0.001,0.004,0.007,0.01,0.015,"EXV3.F","iShares (DE) I - iShares STOXX Europe 600 Technology UCITS ETF (DE)"
"EXV6.F",0.007,0.022,5,-0.018,-0.007,-0.004,0,0.001,0.005,0.009,0.013,0.019,"EXV6.F","iShares (DE) I - iShares STOXX Europe 600 Basic Resources UCITS ETF (DE)"
"EXSD.DE",0.032,0.101,5,-0.009,-0.004,-0.001,0,0.001,0.003,0.004,0.007,0.01,"EXSD.DE","iShares STOXX Europe Mid 200 UCITS ETF (DE)"
