"","NA1","NNA1","mu"
"symptom.Tumor",17.61,17.6142951327308,0.00187450072258373
"symptom.Cheilitis",17.08,17.082421121003,0.00186776713481633
"symptom.Podalgia",12.59,12.5873460478537,0.00183109563315813
"symptom.Motion.sickness",16.76,16.7575051455338,0.00178538694107707
"symptom.Sleep.apnea",14.15,14.1451675074644,0.00176049533261987
"symptom.Tremor",12.78,12.7818619812427,0.00165986683024126
"symptom.Bunion",11.28,11.2830744947977,0.00158659483580452
"symptom.Pulmonary.hypertension",13.74,13.7419284919705,0.00156431924810711
"symptom.Generalized.anxiety.disorder",12.6,12.6015591070838,0.00156152245115101
"symptom.Hypoxia",16.2,16.2022991819146,0.0015558660557374
"symptom.Psychosis",11.9,11.902706420181,0.00155487629582038
"symptom.Mood.disorder",13.31,13.3061746359825,0.00154800364896227
"symptom.Impulsivity",15.25,15.245611921992,0.00151209480082006
"symptom.Abdominal.obesity",16.71,16.7129981283102,0.00144067928254112
"symptom.Halitosis",12.88,12.8759465796707,0.00143440749931693
"symptom.Chest.pain",14.66,14.662036444643,0.00141371845202114
"symptom.Amnesia",11.2,11.2046735882967,0.00140338679060647
"symptom.Hepatitis",18.07,18.0664569623402,0.00140046661030705
"symptom.Viral.pneumonia",18.88,18.8753950559666,0.0013408906088449
"symptom.Underweight",14.46,14.4612536558811,0.00133605659906257
"symptom.Obesity",12.63,12.6279905441362,0.00130984124184036
"symptom.Xeroderma",21.77,21.770501877415,0.00126993474232737
"symptom.Hematoma",16.31,16.3139109385061,0.00126015584304829
"symptom.Lymphedema",15.92,15.9203285348728,0.00124611657346801
"symptom.Anosmia",45.14,45.1385701816796,0.00123120762375708
"symptom.Aphasia",17.08,17.078941805355,0.00120166579100575
"symptom.Hyperlipidemia",15.59,15.5921989523722,0.00119987037541854
"symptom.Suicidal.ideation",13.22,13.2198230905541,0.00119480037746891
"symptom.Stroke",14.83,14.832998404162,0.0011922937582314
"symptom.Pleural.effusion",11.5,11.5034733908457,0.00118279649558851
"symptom.Hypochondriasis",14.35,14.3480002799712,0.00117047968342963
"symptom.Periorbital.puffiness",12.87,12.8677965240908,0.0011308126497449
"symptom.Tic",12.23,12.2305732865929,0.00109772895545057
"symptom.Congenital.heart.defect",17.89,17.8932783237891,0.00109348918543456
"symptom.Hypogonadism",11.83,11.8300367781323,0.00105848662949314
"symptom.Avoidant.personality.disorder",13.36,13.3624435946693,0.00104363691694635
"symptom.Compulsive.hoarding",15.04,15.043594668206,0.00102485143753154
"symptom.Visual.acuity",12.35,12.3479825869613,0.000994102664557008
"symptom.Postural.orthostatic.tachycardia.syndrome",17.57,17.5729023555261,0.000993759455530496
"symptom.Adrenal.crisis",18.78,18.7812976074245,0.000984285807076836
"symptom.Diabetic.ketoacidosis",11.48,11.4780853545363,0.000983618642194497
"symptom.Cleft.lip.and.cleft.palate",19.46,19.4560614629063,0.000959857110499295
"symptom.Jaundice",15.05,15.0490313614891,0.000919170613826119
"symptom.Manic.Disorder",13.91,13.9130023815894,0.000903474651412985
"symptom.Myalgia",18.14,18.1382777745069,0.000894562316001762
"symptom.Asperger.syndrome",11.7,11.6979437680127,0.000892685961944582
"symptom.Leg.cramps",16.49,16.4943196534212,0.000859650117720355
"symptom.Encephalitis",20.61,20.6106682241348,0.000851157978747377
"symptom.Neonatal.jaundice",18.69,18.6927799610161,0.000834020371742627
"symptom.Alcoholism",14.63,14.6279001157547,0.000833248590163863
"symptom.Osteopenia",17.75,17.7487312980081,0.00083266760336631
"symptom.Hypercapnia",16.07,16.0740359507811,0.000830802920188502
"symptom.Dysphagia",15.48,15.4783650604383,0.000817196692822937
"symptom.Meningitis",21.36,21.3612439457306,0.000801183891532764
"symptom.Cardiac.arrest",13.35,13.3480656527314,0.000791148218525215
"symptom.Arthritis",23.36,23.3593162758193,0.000774201052099795
"symptom.Sexual.dysfunction",17.92,17.9156669017267,0.000772668575441516
"symptom.Coma",26.21,26.2144192237117,0.000760313465243401
"symptom.Subdural.hematoma",21.96,21.9572041930752,0.000733143022461915
"symptom.Shallow.breathing",13.45,13.4495639799759,0.000726226981729918
"symptom.Asphyxia",150.82,150.8191339821,0.000720095206909392
"symptom.Dysgeusia",11.59,11.5887141453095,0.000717657047774272
"symptom.Bone.tumor",17.81,17.8085650923505,0.000706424710410331
"symptom.Dysautonomia",11.79,11.7920237207197,0.000701403435907126
"symptom.Autoimmune.disease",13.84,13.840492867463,0.000672398920549732
"symptom.Vasculitis",12.16,12.160976326586,0.000650601830564277
"symptom.Dementia",34.48,34.4800756025182,0.000624109311113903
"symptom.Aphonia",12.43,12.4301021112002,0.000615847344155183
"symptom.Intracranial.pressure",37.72,37.7158387171927,0.000610934907431326
"symptom.Excessive.daytime.sleepiness",12.48,12.481506622104,0.000607625119894296
"symptom.Angular.cheilitis",11.43,11.4282694088309,0.000573244158747475
"symptom.Hemolysis",13.61,13.6092835063286,0.000573171646632014
"symptom.Heart.murmur",12.75,12.7488037529313,0.000571069657402756
"symptom.Allergic.conjunctivitis",11.25,11.2508722914366,0.000568940939879231
"symptom.Hypermobility",17.62,17.6189868690421,0.000550191507942607
"symptom.Developmental.disability",15.41,15.4063883389836,0.000546095842963755
"symptom.Cataplexy",11.85,11.8489889409913,0.000541088441391688
"symptom.Stuttering",46.75,46.751799458627,0.000536458571170154
"symptom.Thyroid.nodule",15.33,15.3343858220592,0.000530415497609431
"symptom.Crackles",12.2,12.196710405975,0.000508668552052374
"symptom.Laryngitis",18.44,18.4396425115137,0.000500088300389286
"symptom.Hydrocephalus",12.83,12.8260631146885,0.000491491485677656
"symptom.Chorea",14.53,14.5332187481406,0.000488381027056692
"symptom.Polycythemia",27.62,27.6192980637894,0.000462673002987936
"symptom.Osteophyte",13.06,13.0610661412579,0.000455370006956442
"symptom.Hemoptysis",13.51,13.5062418906356,0.000436551011739558
"symptom.Mitral.insufficiency",24.84,24.8378312384433,0.000389891894813171
"symptom.Stridor",12.47,12.4724515512714,0.000384646207260394
"symptom.Burning.Chest.Pain",11.51,11.508861953394,0.000374422782942283
"symptom.Spasticity",11.26,11.2600793798368,0.000374008307551968
"symptom.Neutropenia",11.31,11.3059244077702,0.000331661757339114
"symptom.Hypercalcaemia",11.41,11.4148106955522,0.000316899827582389
